data,model,attack,adv_param,defence,acc_no_def,acc_on_adv,fpr
banknote,dnn,apgd2,1.0,baard,0.0,1.0,0.0051813471502590676
banknote,dnn,apgd2,1.0,baard,0.0,1.0,0.020202020202020204
banknote,dnn,apgd2,1.0,baard,0.0,1.0,0.04102564102564103
banknote,dnn,apgd2,1.0,baard,0.0,1.0,0.010362694300518135
banknote,dnn,apgd2,1.0,baard,0.0,1.0,0.020618556701030927
banknote,dnn,apgd2,1.0,lid,0.0,0.9896373056994818,0.0
banknote,dnn,apgd2,1.0,lid,0.0,0.9848484848484848,0.0
banknote,dnn,apgd2,1.0,lid,0.0,0.9948717948717948,0.0
banknote,dnn,apgd2,1.0,lid,0.0,1.0,0.0
banknote,dnn,apgd2,1.0,lid,0.0,0.9690721649484536,0.005154639175257732
banknote,dnn,apgd2,1.0,magnet,0.0,0.8341968911917098,0.0
banknote,dnn,apgd2,1.0,magnet,0.0,0.7929292929292929,0.0
banknote,dnn,apgd2,1.0,magnet,0.0,1.0,0.015384615384615384
banknote,dnn,apgd2,1.0,magnet,0.0,0.9015544041450776,0.0
banknote,dnn,apgd2,1.0,magnet,0.0,0.4123711340206185,0.0
banknote,dnn,apgd2,1.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,1.0,rc,0.0,0.0,0.005050505050505051
banknote,dnn,apgd2,1.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,1.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,1.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,1.5,baard,0.0,1.0,0.0051813471502590676
banknote,dnn,apgd2,1.5,baard,0.0,1.0,0.020202020202020204
banknote,dnn,apgd2,1.5,baard,0.0,1.0,0.04102564102564103
banknote,dnn,apgd2,1.5,baard,0.0,1.0,0.010362694300518135
banknote,dnn,apgd2,1.5,baard,0.0,1.0,0.020618556701030927
banknote,dnn,apgd2,1.5,lid,0.0,0.922279792746114,0.0
banknote,dnn,apgd2,1.5,lid,0.0,0.9747474747474748,0.0
banknote,dnn,apgd2,1.5,lid,0.0,1.0,0.0
banknote,dnn,apgd2,1.5,lid,0.0,0.8963730569948186,0.0
banknote,dnn,apgd2,1.5,lid,0.0,0.9793814432989691,0.005154639175257732
banknote,dnn,apgd2,1.5,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,1.5,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,1.5,magnet,0.0,1.0,0.015384615384615384
banknote,dnn,apgd2,1.5,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,1.5,magnet,0.0,0.3865979381443299,0.0
banknote,dnn,apgd2,1.5,rc,0.0,0.0,0.0
banknote,dnn,apgd2,1.5,rc,0.0,0.0,0.005050505050505051
banknote,dnn,apgd2,1.5,rc,0.0,0.0,0.0
banknote,dnn,apgd2,1.5,rc,0.0,0.0,0.0
banknote,dnn,apgd2,1.5,rc,0.0,0.0,0.0
banknote,dnn,apgd2,2.0,baard,0.0,1.0,0.0051813471502590676
banknote,dnn,apgd2,2.0,baard,0.0,1.0,0.020202020202020204
banknote,dnn,apgd2,2.0,baard,0.0,1.0,0.04102564102564103
banknote,dnn,apgd2,2.0,baard,0.0,1.0,0.010362694300518135
banknote,dnn,apgd2,2.0,baard,0.0,1.0,0.020618556701030927
banknote,dnn,apgd2,2.0,lid,0.0,0.9948186528497408,0.0
banknote,dnn,apgd2,2.0,lid,0.0,0.9444444444444444,0.0
banknote,dnn,apgd2,2.0,lid,0.0,0.9948717948717948,0.0
banknote,dnn,apgd2,2.0,lid,0.0,0.9481865284974094,0.0
banknote,dnn,apgd2,2.0,lid,0.0,0.8762886597938144,0.0
banknote,dnn,apgd2,2.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,2.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,2.0,magnet,0.0,1.0,0.015384615384615384
banknote,dnn,apgd2,2.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,2.0,magnet,0.0,0.3865979381443299,0.0
banknote,dnn,apgd2,2.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,2.0,rc,0.0,0.0,0.005050505050505051
banknote,dnn,apgd2,2.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,2.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,2.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,3.0,baard,0.0,1.0,0.0051813471502590676
banknote,dnn,apgd2,3.0,baard,0.0,1.0,0.020202020202020204
banknote,dnn,apgd2,3.0,baard,0.0,1.0,0.04102564102564103
banknote,dnn,apgd2,3.0,baard,0.0,1.0,0.010362694300518135
banknote,dnn,apgd2,3.0,baard,0.0,1.0,0.020618556701030927
banknote,dnn,apgd2,3.0,lid,0.0,0.9689119170984456,0.0
banknote,dnn,apgd2,3.0,lid,0.0,1.0,0.0
banknote,dnn,apgd2,3.0,lid,0.0,1.0,0.0
banknote,dnn,apgd2,3.0,lid,0.0,1.0,0.0
banknote,dnn,apgd2,3.0,lid,0.0,0.9896907216494846,0.005154639175257732
banknote,dnn,apgd2,3.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,3.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,3.0,magnet,0.0,1.0,0.015384615384615384
banknote,dnn,apgd2,3.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd2,3.0,magnet,0.0,0.3865979381443299,0.0
banknote,dnn,apgd2,3.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,3.0,rc,0.0,0.0,0.005050505050505051
banknote,dnn,apgd2,3.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,3.0,rc,0.0,0.0,0.0
banknote,dnn,apgd2,3.0,rc,0.0,0.0,0.0
