,Attack,Epsilon,Without Defence,Defence,False Positive Rate,Score
81,cw2,5.0,1.0204081632653061,baard_2stage,2.5510204081632653,67.3469387755102
82,cw2,5.0,1.0204081632653061,baard_3stage,4.591836734693878,67.3469387755102
83,cw2,5.0,1.0204081632653061,fs,47.44897959183674,52.04081632653062
84,cw2,5.0,1.0204081632653061,lid,9.693877551020408,33.6734693877551
85,cw2,5.0,1.0204081632653061,rc,0.5102040816326531,1.0204081632653061
86,cwinf,0.0,0.0,baard_2stage,2.5510204081632653,77.55102040816327
87,cwinf,0.0,0.0,baard_3stage,4.591836734693878,79.08163265306123
88,cwinf,0.0,0.0,fs,39.285714285714285,37.244897959183675
89,cwinf,0.0,0.0,lid,7.653061224489796,46.42857142857143
90,cwinf,0.0,0.0,rc,0.5102040816326531,6.63265306122449
91,cwinf,5.0,1.0204081632653061,baard_2stage,2.5510204081632653,69.38775510204081
92,cwinf,5.0,1.0204081632653061,baard_3stage,4.591836734693878,69.38775510204081
93,cwinf,5.0,1.0204081632653061,fs,48.97959183673469,47.95918367346938
94,cwinf,5.0,1.0204081632653061,lid,4.591836734693878,52.55102040816326
95,cwinf,5.0,1.0204081632653061,rc,0.5102040816326531,1.0204081632653061
96,deepfool,1e-06,1.530612244897959,baard_2stage,6.122448979591836,95.91836734693877
97,deepfool,1e-06,1.530612244897959,baard_3stage,8.16326530612245,96.93877551020408
98,deepfool,1e-06,1.530612244897959,fs,0.0,32.142857142857146
99,deepfool,1e-06,1.530612244897959,lid,0.5102040816326531,86.22448979591837
100,deepfool,1e-06,1.530612244897959,rc,0.5102040816326531,1.530612244897959
101,fgsm,0.05,76.0204081632653,baard_2stage,2.5510204081632653,64.79591836734694
102,fgsm,0.05,76.0204081632653,baard_3stage,4.591836734693878,68.36734693877551
103,fgsm,0.05,76.0204081632653,fs,48.46938775510204,39.795918367346935
104,fgsm,0.05,76.0204081632653,lid,5.1020408163265305,61.224489795918366
105,fgsm,0.05,76.0204081632653,rc,0.5102040816326531,77.04081632653062
106,fgsm,0.2,1.0204081632653061,baard_2stage,2.5510204081632653,98.46938775510205
107,fgsm,0.2,1.0204081632653061,baard_3stage,4.591836734693878,98.46938775510205
108,fgsm,0.2,1.0204081632653061,fs,47.95918367346938,52.55102040816326
109,fgsm,0.2,1.0204081632653061,lid,4.591836734693878,77.55102040816327
110,fgsm,0.2,1.0204081632653061,rc,0.5102040816326531,1.530612244897959
111,fgsm,0.4,0.0,baard_2stage,2.5510204081632653,100.0
112,fgsm,0.4,0.0,baard_3stage,4.591836734693878,100.0
113,fgsm,0.4,0.0,fs,0.0,39.285714285714285
114,fgsm,0.4,0.0,lid,0.0,98.46938775510205
115,fgsm,0.4,0.0,rc,0.5102040816326531,0.0
116,fgsm,1.0,0.0,baard_2stage,2.5510204081632653,100.0
117,fgsm,1.0,0.0,baard_3stage,4.591836734693878,100.0
118,fgsm,1.0,0.0,fs,0.0,40.816326530612244
119,fgsm,1.0,0.0,lid,0.0,97.44897959183673
120,fgsm,1.0,0.0,rc,0.5102040816326531,0.0
