,Attack,Adv_param,Defence,FPR,Acc_on_adv
121,line,1.0,baard_3stage,9.5,100.0
122,line,1.0,lid,0.1,96.8
123,line,1.0,rc,1.5,92.5
124,line,1.0,fs,4.8,99.1
125,line,1.0,magnet,0.2,98.4
126,watermark,0.3,baard_2stage,6.2,98.7
127,watermark,0.3,baard_3stage,9.5,99.2
128,watermark,0.3,lid,0.0,98.4
129,watermark,0.3,rc,1.5,97.39999999999999
130,watermark,0.3,fs,4.8,100.0
131,watermark,0.3,magnet,0.2,99.0
132,watermark,0.6,baard_2stage,6.2,95.3
133,watermark,0.6,baard_3stage,9.5,96.3
134,watermark,0.6,lid,0.0,93.7
135,watermark,0.6,rc,1.5,91.7
136,watermark,0.6,fs,4.8,98.4
137,watermark,0.6,magnet,0.2,93.60000000000001
138,watermark,1.0,baard_2stage,6.2,84.3
139,watermark,1.0,baard_3stage,9.5,88.6
140,watermark,1.0,lid,1.2,75.1
141,watermark,1.0,rc,1.5,73.2
142,watermark,1.0,fs,4.8,90.3
143,watermark,1.0,magnet,0.2,73.3
